issued_date,issued_qty,project,supplier,methodology,durability,project_url,project_id,page_number
01 Jun 2026,12078,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,1
28 May 2026,597,Bio-Logical Mt Kenya Biochar Project,Bio-Logical,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/664457,664457,1
26 May 2026,2901,"ReGenerate Livermore Falls, LLC","ReGenerate Livermore Falls, LLC","Biochar, 2022",100+ years,https://registry.puro.earth/projects/470748,470748,1
21 May 2026,61822,Gevo North Dakota,Net-Zero Richardton LLC,Geologically stored carbon,1000+ years,https://registry.puro.earth/projects/353054,353054,1
15 May 2026,1110,Charles Ingram Lumber Company,S.J. Smoke Enterprises,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/973037,973037,1
08 May 2026,2893,Leeds Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/625222,625222,1
08 May 2026,717,Leeds Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/625222,625222,1
07 May 2026,10068,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,1
30 Apr 2026,10163,"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/432524,432524,1
30 Apr 2026,2506,Wakefield Biochar Facility 4,Accend AS,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/517437,517437,1
29 Apr 2026,69,East Dundee Biochar Facility,The Davey Tree Expert Company,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/435899,435899,2
24 Apr 2026,1575,Avonmouth Production Facility,O.C.O Technology Limited,Carbonated Materials,1000+ years,https://registry.puro.earth/projects/756292,756292,2
22 Apr 2026,2260,Truecoco Ghana Ltd,Truecoco Ghana Ltd,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/816220,816220,2
22 Apr 2026,918,Jiaxing Tongao Biochar Plant,"Climate Future Co., Ltd.","Biochar, 2022",100+ years,https://registry.puro.earth/projects/554214,554214,2
17 Apr 2026,88,Carbonity Biochar Production Canada,First Climate (Switzerland) AG,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/145827,145827,2
13 Apr 2026,4,R3,Carbo Culture Inc,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/969347,969347,2
01 Apr 2026,10835,"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/292788,292788,2
31 Mar 2026,46433,Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/175613,175613,2
30 Mar 2026,60,SEEK Biochar in Shanghai,Climate Bridge (Shanghai) Ltd.,"Biochar, 2022",100+ years,https://registry.puro.earth/projects/469599,469599,2
30 Mar 2026,1049,Dragonfly,Tivano AG,Terrestrial Storage of Biomass,100+ years,https://registry.puro.earth/projects/846201,846201,2
