project,supplier,methodology,country,project_url,project_id,page_number
A. James - 50370 Brecey,Carbonapp,Wooden Building Elements,🇫🇷 France,https://registry.puro.earth/projects/181856,181856,1
Alcom-01-NuevaEcijaPhilippines,Alcom Carbon Markets Pte Ltd,"Biochar, 2022",🇵🇭 Philippines,https://registry.puro.earth/projects/227253,227253,1
"American BioCarbon CT, LLC","American BioCarbon CT, LLC","Biochar, 2022",🇺🇸 United States,https://registry.puro.earth/projects/543800,543800,1
Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",🇧🇷 Brazil,https://registry.puro.earth/projects/175613,175613,1
Applied Carbon – Terra,Applied Carbon Inc.,"Biochar, 2022",🇺🇸 United States,https://registry.puro.earth/projects/686528,686528,1
"Are Treindustrier, Norway",Accend AS,Wooden Building Elements,🇳🇴 Norway,https://registry.puro.earth/projects/310958,310958,1
Avonmouth Production Facility,O.C.O Technology Limited,Carbonated Materials,🇬🇧 United Kingdom,https://registry.puro.earth/projects/756292,756292,1
BASNA d.o.o.,Basna d.o.o.,"Biochar, 2022",🇷🇸 Serbia,https://registry.puro.earth/projects/957051,957051,1
BBB - Ahlstrom_Radcliffe,Black Bull Biochar Ltd,"Biochar, 2022",🇬🇧 United Kingdom,https://registry.puro.earth/projects/511686,511686,1
BBB - AWJ_Newton Rigg (JNR),Black Bull Biochar Ltd,"Biochar, 2022",🇬🇧 United Kingdom,https://registry.puro.earth/projects/448190,448190,1
BC Biocarbon - McBride,BC Biocarbon LTD,"Biochar, 2022",🇨🇦 Canada,https://registry.puro.earth/projects/862421,862421,2
Bella Biochar Corporation,Bella Biochar Corporation,"Biochar, 2022",🇨🇦 Canada,https://registry.puro.earth/projects/157033,157033,2
Bio-Logical Mt Kenya Biochar Project,Bio-Logical,"Biochar, 2022",🇰🇪 Kenya,https://registry.puro.earth/projects/664457,664457,2
BioLesna Carrot River,BC Biocarbon LTD,"Biochar, 2022",🇨🇦 Canada,https://registry.puro.earth/projects/392654,392654,2
Brandon Production Facility,O.C.O Technology Limited,Carbonated Materials,🇬🇧 United Kingdom,https://registry.puro.earth/projects/300346,300346,2
Brodie Biomass,Accend AS,"Biochar, 2022",🇬🇧 United Kingdom,https://registry.puro.earth/projects/680422,680422,2
Bussme-01-Munka-Ljungby,Bussme Biochar AB,"Biochar, 2022",🇸🇪 Sweden,https://registry.puro.earth/projects/299495,299495,2
Bussme-01-Svedala,Bussme Biochar AB,"Biochar, 2022",🇸🇪 Sweden,https://registry.puro.earth/projects/665890,665890,2
Carbofex 1 Hiedanranta,Carbofex Oy,"Biochar, 2022",🇫🇮 Finland,https://registry.puro.earth/projects/911942,911942,2
Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",🇫🇮 Finland,https://registry.puro.earth/projects/507468,507468,2
